"KEY_ZIP","EST_INCOME","NUM_ADULTS","NUM_CHILD","VEHICLE_PURCHASE_INTENT","EDUCATION","ASN","BLK","WHT","HISP","AMERIND","NUM_CARS","SOLAR","HOMEVAL","NY.POPULATION/10000","NY.POP_SQMI/1000","TOT_EV"
"10036","9","1","","0","2","0.002","0","0","0","0","","0","","2.1951","53.5390199999999","12"
"10036","9","1","","0","2","0.002","0","0","0","0","","0","","2.1951","53.5390199999999","12"
"11050","7.83223869393883","2.7698583616334","0.896100133279249","0.213860980110724","1.90974877919633","4.006","0.22","21.82","4.302","0.01","1.84016620498615","10","0.0182673243686802","3.095","3.03430999999999","84"
"11050","7.83223869393883","2.7698583616334","0.896100133279249","0.213860980110724","1.90974877919633","4.006","0.22","21.82","4.302","0.01","1.84016620498615","10","0.0182673243686802","3.095","3.03430999999999","84"
"11203","5.23164000172496","2.35037340308579","0.735281055703591","0.0603709062212285","1.47535965717784","1.314","53.01","5.364","4.068","0.032","1.26662799690642","0","0.250345330935921","7.9441","36.9493","7"
"11203","5.23164000172496","2.35037340308579","0.735281055703591","0.0603709062212285","1.47535965717784","1.314","53.01","5.364","4.068","0.032","1.26662799690642","0","0.250345330935921","7.9441","36.9493","7"
"11225","4.32680826636051","2.1166268972473","0.762003610108303","0.0463853514816528","1.49689608636977","1.45","31.762","6.426","5.156","0.012","1.31245551601423","0","0.322759387711411","6.0131","69.1160899999999","5"
"11225","4.32680826636051","2.1166268972473","0.762003610108303","0.0463853514816528","1.49689608636977","1.45","31.762","6.426","5.156","0.012","1.31245551601423","0","0.322759387711411","6.0131","69.1160899999999","5"
"11237","3.36161350432972","1.84130134622023","0.861990276813176","0.0273839251703559","1.50052083333333","2.586","0.406","3.782","23.872","0.008","1.23861566484517","0","0.243467992534891","4.5053","45.50808","4"
"11237","3.36161350432972","1.84130134622023","0.861990276813176","0.0273839251703559","1.50052083333333","2.586","0.406","3.782","23.872","0.008","1.23861566484517","0","0.243467992534891","4.5053","45.50808","4"
"11239","3.32465326917634","2.13053954048705","0.743790311513654","0.0574850299401198","1.48863469716967","0.56","1.834","9.554","3.234","0.004","1.19361084220716","0","0.211933365617433","1.3707","7.25238","3"
"11239","3.32465326917634","2.13053954048705","0.743790311513654","0.0574850299401198","1.48863469716967","0.56","1.834","9.554","3.234","0.004","1.19361084220716","0","0.211933365617433","1.3707","7.25238","3"
"11243","7.62433862433862","1.49820788530466","1.02040816326531","0.0247349823321555","1.82456140350877","0.054","0","0.11","0.03","0","1.34782608695652","0","0.609255291828794","","",""
"11247","3.07534246575342","1.65284974093264","0.964705882352941","0.0505050505050505","1.55454545454545","0.006","0.078","0.088","0.012","0","1.125","0","","","",""
"11352","3.61437908496732","1.56981132075472","0.666666666666667","0.0180722891566265","1.75652173913043","0.172","0","0.076","0.1","0","1.8","0","","","",""
"11369","5.28206424079066","2.2003390917839","0.80817262764421","0.0656620021528525","1.48479221927498","2.846","2.964","6.472","21","0.004","1.32576866764275","0","0.283864206110694","4.0705","37.34404","7"
"11369","5.28206424079066","2.2003390917839","0.80817262764421","0.0656620021528525","1.48479221927498","2.846","2.964","6.472","21","0.004","1.32576866764275","0","0.283864206110694","4.0705","37.34404","7"
"11380","3.2962962962963","1.28070175438596","0.857142857142857","0","1.67857142857143","0.018","0","0.006","0.04","0","1.5","0","","","",""
"11417","5.42569759896171","2.32903194151416","0.850244346889754","0.0811096687340738","1.45069804197032","5.938","0.294","8.636","11.88","0.006","1.47041732699419","0","0.252131732167057","2.7785","25.0315299999999","6"
"11417","5.42569759896171","2.32903194151416","0.850244346889754","0.0811096687340738","1.45069804197032","5.938","0.294","8.636","11.88","0.006","1.47041732699419","0","0.252131732167057","2.7785","25.0315299999999","6"
"11518","6.95264303084603","2.90611098103489","0.897316043425814","0.275357267340537","1.67127708621485","0.284","0.084","8.736","1.254","0","1.81650931977729","8","0.0088634013139885","1.0426","5.99194999999999","11"
"11518","6.95264303084603","2.90611098103489","0.897316043425814","0.275357267340537","1.67127708621485","0.284","0.084","8.736","1.254","0","1.81650931977729","8","0.0088634013139885","1.0426","5.99194999999999","11"
"11553","6.01903681290973","2.62540591116737","0.813202364105552","0.142344887536673","1.51347360649686","0.792","6.61","8.502","9.582","0.012","1.4707656612529","0","0.00616361025762231","2.667","8.18097999999999","9"
"11553","6.01903681290973","2.62540591116737","0.813202364105552","0.142344887536673","1.51347360649686","0.792","6.61","8.502","9.582","0.012","1.4707656612529","0","0.00616361025762231","2.667","8.18097999999999","9"
"11557","7.95512402088773","3.19928507596068","0.873453318335208","0.271116361488482","1.88085782366958","0.552","0.078","7.58","0.934","0","2.11024468943264","0","0.013378710129688","0.8285","2.91725","20"
"11557","7.95512402088773","3.19928507596068","0.873453318335208","0.271116361488482","1.88085782366958","0.552","0.078","7.58","0.934","0","2.11024468943264","0","0.013378710129688","0.8285","2.91725","20"
"11572","7.41772473336719","3.08588572100867","0.870819137194683","0.288689896826942","1.7171242226604","1.042","0.272","28.356","4.32","0.016","1.95024662234613","4","0.00895567909141369","2.9885","5.64934","35"
"11572","7.41772473336719","3.08588572100867","0.870819137194683","0.288689896826942","1.7171242226604","1.042","0.272","28.356","4.32","0.016","1.95024662234613","4","0.00895567909141369","2.9885","5.64934","35"
"11576","8.44649221056919","3.17331717322394","0.904056437389771","0.274576898178119","2.01339177014853","3.248","0.084","11.414","0.626","0.008","2.17782083768073","0","0.0191428847501752","1.0954","2.25390999999999","73"
